*** SIMULATION LOOP NO. 1 (starting at time 0.000) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.285438e-15 |  7.221758e-10 |  7.221786e-10 |  1.000000e+00 | 
     2 |      0 |  3.919681e-15 |  7.104147e-10 |  7.104194e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 50 (starting at time 2.450) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.315114e-15 |  5.619719e-10 |  5.619747e-10 |  1.000000e+00 | 
     2 |      0 |  2.511921e-15 |  5.528131e-10 |  5.528161e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 51 (starting at time 2.500) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.539469e-15 |  4.373200e-10 |  4.373218e-10 |  1.000000e+00 | 
     2 |      0 |  2.971951e-15 |  4.301867e-10 |  4.301902e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 52 (starting at time 2.550) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.419699e-15 |  3.403257e-10 |  3.403274e-10 |  1.000000e+00 | 
     2 |      0 |  3.448040e-15 |  3.347701e-10 |  3.347743e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 53 (starting at time 2.600) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.012040e-15 |  2.648507e-10 |  2.648519e-10 |  1.000000e+00 | 
     2 |      0 |  1.870565e-15 |  2.605230e-10 |  2.605253e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 54 (starting at time 2.650) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.042229e-15 |  2.061209e-10 |  2.061221e-10 |  1.000000e+00 | 
     2 |      0 |  1.172203e-15 |  2.027500e-10 |  2.027514e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 55 (starting at time 2.700) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  7.092750e-16 |  1.604187e-10 |  1.604195e-10 |  1.000000e+00 | 
     2 |      0 |  1.026167e-15 |  1.577923e-10 |  1.577935e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 56 (starting at time 2.750) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.586293e-16 |  1.248537e-10 |  1.248544e-10 |  1.000000e+00 | 
     2 |      0 |  1.449105e-15 |  1.228078e-10 |  1.228096e-10 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 57 (starting at time 2.800) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  8.733400e-16 |  9.717818e-11 |  9.717923e-11 |  1.000000e+00 | 
     2 |      0 |  1.189771e-15 |  9.558352e-11 |  9.558495e-11 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 58 (starting at time 2.850) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.207001e-16 |  7.563987e-11 |  7.564049e-11 |  1.000000e+00 | 
     2 |      0 |  8.987441e-16 |  7.439716e-11 |  7.439823e-11 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 59 (starting at time 2.900) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  8.037432e-16 |  5.887783e-11 |  5.887880e-11 |  1.000000e+00 | 
     2 |      0 |  1.236033e-15 |  5.790968e-11 |  5.791116e-11 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 60 (starting at time 2.950) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  4.884790e-16 |  4.583312e-11 |  4.583370e-11 |  1.000000e+00 | 
     2 |      0 |  9.999696e-16 |  4.507942e-11 |  4.508062e-11 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 61 (starting at time 3.000) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.441571e-16 |  3.568315e-11 |  3.568380e-11 |  1.000000e+00 | 
     2 |      0 |  1.043649e-15 |  3.509374e-11 |  3.509499e-11 |  1.000000e+00 | 
